Type,Localisation,Price,Area,Rooms,Bedrooms,Bathrooms,Floor,Other_tags,Price_m2,Current_state,Age
Appartements,Racine,1550000,83.0,2.0,1.0,1.0,5.0,"['Bon état', '1-5 ans']",18674.698795180724,Bon état,1-5 ans
Appartements,Les Hôpitaux,1180000,72.0,2.0,1.0,1.0,7.0,"['Bon état', '5-10 ans']",16388.88888888889,Bon état,5-10 ans
Appartements,Les Hôpitaux,1460000,124.0,3.0,2.0,2.0,4.0,"['Bon état', '5-10 ans']",11774.193548387097,Bon état,5-10 ans
Appartements,Belvédère,800000,96.0,2.0,1.0,2.0,7.0,['Bon état'],8333.333333333334,Bon état,
Villas,Californie,39000000,1700.0,9.0,6.0,6.0,0.0,['Bon état'],22941.176470588234,Bon état,
Appartements,Maârif,3265000,227.0,5.0,3.0,3.0,5.0,[],14383.259911894273,,
Appartements,Maârif,1540000,106.0,3.0,2.0,2.0,3.0,[],14528.301886792451,,
Villas,Californie,6900000,436.0,7.0,4.0,4.0,0.0,"['Bon état', '10-20 ans']",15825.688073394496,Bon état,10-20 ans
Appartements,Sidi Maarouf,1100000,125.0,5.0,3.0,2.0,1.0,"['Bon état', '5-10 ans']",8800.0,Bon état,5-10 ans
Appartements,Sidi Maarouf,775000,70.0,3.0,2.0,1.0,3.0,"['Bon état', '10-20 ans']",11071.42857142857,Bon état,10-20 ans
Appartements,Belvédère,780000,51.0,2.0,1.0,1.0,1.0,"['Nouveau', ""Moins d'un an""]",15294.117647058823,Nouveau,Moins d'un an
Appartements,Les Hôpitaux,1300000,113.0,4.0,2.0,2.0,1.0,"['Bon état', '10-20 ans']",11504.424778761062,Bon état,10-20 ans
Appartements,Val Fleury,1022000,73.0,4.0,2.0,2.0,5.0,"['Bon état', '5-10 ans']",14000.0,Bon état,5-10 ans
Appartements,Hermitage,1097000,64.0,3.0,2.0,1.0,2.0,"['Nouveau', ""Moins d'un an""]",17140.625,Nouveau,Moins d'un an
Appartements,Triangle d'Or,2500000,148.0,5.0,3.0,2.0,2.0,['Bon état'],16891.891891891893,Bon état,
Appartements,Oulfa,649000,63.0,3.0,2.0,2.0,3.0,"['Bon état', '1-5 ans']",10301.587301587302,Bon état,1-5 ans
Appartements,Bourgogne Ouest,950000,47.0,2.0,1.0,1.0,5.0,"['Bon état', '1-5 ans']",20212.76595744681,Bon état,1-5 ans
Appartements,Aïn Sebaâ,380000,49.0,5.0,3.0,2.0,2.0,"['Bon état', '5-10 ans']",7755.102040816327,Bon état,5-10 ans
Villas,Longchamps (Hay Al Hanâa),10500000,560.0,3.0,4.0,2.0,0.0,"['À rénover', '30-50 ans']",18750.0,À rénover,30-50 ans
Appartements,Bourgogne Ouest,1500000,120.0,7.0,3.0,1.0,3.0,"['Bon état', '10-20 ans']",12500.0,Bon état,10-20 ans
Appartements,Belvédère,1500000,150.0,3.0,2.0,2.0,3.0,"['Bon état', '20-30 ans']",10000.0,Bon état,20-30 ans
Appartements,Oulfa,350000,46.0,3.0,2.0,1.0,2.0,"['Bon état', '1-5 ans']",7608.695652173913,Bon état,1-5 ans
Appartements,Les Hôpitaux,3200000,281.0,5.0,3.0,2.0,5.0,"['Bon état', '20-30 ans']",11387.900355871889,Bon état,20-30 ans
Appartements,Belvédère,2400000,164.0,5.0,3.0,2.0,6.0,"['Bon état', '5-10 ans']",14634.146341463416,Bon état,5-10 ans
Appartements,Palmier,2030000,135.0,4.0,3.0,2.0,6.0,"['Bon état', '10-20 ans']",15037.037037037036,Bon état,10-20 ans
