Type,Localisation,Latitude,Longitude,Price,Area,Rooms,Bedrooms,Bathrooms,Floor,Other_tags,Price_m2
Appartements,Aïn Sebaâ,,,380000,56.0,1.0,2.0,2.0,3.0,"['Bon état', '10-20 ans']",6785.714285714285
Appartements,Palmier,,,3200000,169.0,4.0,3.0,2.0,3.0,"['Bon état', '5-10 ans']",18934.91124260355
Appartements,Oasis,,,1950000,136.0,10.0,3.0,2.0,2.0,"['Bon état', '5-10 ans']",14338.235294117647
Appartements,Val Fleury,33.57519011717882,-7.636785507202148,2650000,164.0,5.0,3.0,2.0,12.0,"['Bon état', '10-20 ans']",16158.536585365853
Appartements,Palmier,,,1800000,100.0,5.0,3.0,2.0,,['Bon état'],18000.0
Appartements,Maârif Extension,33.57987394514173,-7.646827697753906,2100000,108.0,5.0,3.0,2.0,,['Bon état'],19444.444444444445
Appartements,Les Crêtes,,,3180000,216.0,4.0,4.0,3.0,2.0,"['Bon état', '10-20 ans']",14722.222222222223
Villas,Polo,,,8400000,805.0,4.0,4.0,3.0,0.0,"['Bon état', '10-20 ans']",10434.782608695652
Villas,Oasis,,,10800000,935.0,12.0,7.0,8.0,0.0,['Bon état'],11550.802139037432
Villas,Tantonville,33.56632232698248,-7.619233131408691,5300000,378.0,6.0,4.0,3.0,0.0,"['Bon état', '10-20 ans']",14021.16402116402
Appartements,Belvédère,33.5895625839363,-7.59678840637207,1150000,141.0,3.0,2.0,2.0,2.0,"['Bon état', '5-10 ans']",8156.0283687943265
Appartements,Oasis,,,1200000,53.0,2.0,1.0,1.0,,['Bon état'],22641.509433962263
Appartements,Ain Diab Extension,,,4100000,164.0,5.0,2.0,3.0,,['Bon état'],25000.0
Appartements,Ain Chock,,,660000,65.0,2.0,2.0,1.0,,['Bon état'],10153.846153846154
Villas,Californie,33.53595755299843,-7.625627517700195,12000000,860.0,5.0,4.0,3.0,0.0,['Bon état'],13953.488372093023
Appartements,Anfa,,,2190000,131.0,3.0,2.0,2.0,4.0,"['À rénover', '10-20 ans']",16717.557251908398
Appartements,Aïn Sebaâ,33.611688641154686,-7.538852691650391,935000,89.0,3.0,2.0,2.0,2.0,"['Nouveau', ""Moins d'un an""]",10505.61797752809
Appartements,Aïn Sebaâ,,,550000,50.0,2.0,1.0,1.0,2.0,"['Nouveau', ""Moins d'un an""]",11000.0
Appartements,Triangle d'Or,33.582734173084866,-7.675838470458984,5000000,269.0,6.0,5.0,4.0,5.0,"['Bon état', '5-10 ans']",18587.36059479554
Appartements,Burger,,,1650000,128.0,4.0,3.0,2.0,3.0,"['Bon état', '10-20 ans']",12890.625
Appartements,Racine Extension,,,3800000,190.0,5.0,4.0,2.0,2.0,"['Bon état', '5-10 ans']",20000.0
Villas,Ain Diab Extension,33.57828475497005,-7.696003355682791,10000000,600.0,6.0,3.0,5.0,0.0,['Bon état'],16666.666666666668
Appartements,Racine,33.592458238962855,-7.648158073425293,4500000,205.0,4.0,3.0,2.0,,['Nouveau'],21951.219512195123
Appartements,Les Hôpitaux,,,1730000,128.0,5.0,3.0,2.0,5.0,"['Bon état', '10-20 ans']",13515.625
Appartements,Racine,33.58738184129984,-7.642364501953068,3800000,190.0,5.0,3.0,3.0,4.0,"['Bon état', '10-20 ans']",20000.0
Appartements,Centre Ville,,,1600000,135.0,4.0,3.0,1.0,1.0,"['Bon état', '10-20 ans']",11851.851851851852
